City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,lokoja,7.8024,6.743,37.94,24,100,2.19,NG,1680275096
212,nacogdoches,31.6002,-94.6335,23.8,88,100,8.23,US,1680275097
213,nelson bay,-32.7167,152.15,19.44,88,0,2.68,AU,1680275097
214,yichang,30.7144,111.2847,18.25,64,100,0.78,CN,1680275097
215,hovd,48.0056,91.6419,-9.03,40,34,4.41,MN,1680275097
216,redcliffe,-27.2307,153.0973,21.05,68,100,2.57,AU,1680274955
217,vero beach,27.6386,-80.3973,27.25,57,0,8.23,US,1680275097
218,richards bay,-28.783,32.0377,22.99,76,80,3.75,ZA,1680275098
219,tarpon springs,28.1461,-82.7568,27.1,64,54,5.81,US,1680275098
220,sibolga,1.7427,98.7792,25.63,84,100,1.75,ID,1680275098
221,leningradskiy,69.3833,178.4167,-19.77,86,29,2.64,RU,1680275098
222,polessk,54.862,21.1028,9.03,89,93,3.99,RU,1680275098
223,aykhal,66.0,111.5,-23.57,100,92,5.07,RU,1680275098
224,puerto escondido,15.85,-97.0667,32.46,74,0,2.06,MX,1680275098
225,pacific grove,36.6177,-121.9166,7.59,89,1,2.13,US,1680275099
226,havre-saint-pierre,50.2334,-63.5986,1.2,69,40,1.54,CA,1680275099
227,pavlovsk,50.4578,40.1081,2.22,96,100,6.9,RU,1680275099
228,nuevo ideal,24.8875,-105.0728,16.19,17,100,2.03,MX,1680275099
229,chara,56.9064,118.2631,-2.98,77,100,4.54,RU,1680275100
230,itarema,-2.9248,-39.9167,28.57,72,37,4.08,BR,1680275100
231,qeshm,26.9581,56.2719,26.93,62,62,5.74,IR,1680275100
232,harer,9.3094,42.1258,18.8,77,62,1.96,ET,1680275100
233,tuktoyaktuk,69.4541,-133.0374,-26.0,76,0,7.2,CA,1680275100
234,gold coast,-28.0,153.4333,21.11,78,100,0.51,AU,1680275031
235,george,-33.963,22.4617,18.75,68,20,3.09,ZA,1680275100
236,zabid,14.1951,43.3152,29.39,62,99,5.77,YE,1680275100
237,karratha,-20.7377,116.8463,28.24,70,97,3.19,AU,1680275101
238,pisco,-13.7,-76.2167,26.03,73,0,3.6,PE,1680275101
239,lorengau,-2.0226,147.2712,26.99,81,95,2.93,PG,1680275101
240,malatya,38.5,38.0,4.03,33,20,9.26,TR,1680275101
241,bengkulu,-3.8004,102.2655,24.59,88,97,1.76,ID,1680275101
242,maroantsetra,-15.4333,49.7333,26.22,81,99,3.52,MG,1680275101
243,iisalmi,63.5592,27.1907,-0.27,82,12,3.7,FI,1680275102
244,beringovskiy,63.05,179.3167,-14.66,92,8,3.81,RU,1680275102
245,taitung,22.7583,121.1444,20.15,100,100,1.54,TW,1680274914
246,nome,64.5011,-165.4064,-5.96,79,100,6.69,US,1680275102
247,matara,5.9485,80.5353,26.95,82,89,1.29,LK,1680275103
248,krasnaya gorka,55.1962,56.6673,2.42,70,100,4.85,RU,1680275103
249,alta floresta,-9.8756,-56.0861,32.9,62,40,2.06,BR,1680275103
250,kropotkin,45.4375,40.5756,7.04,65,61,6.46,RU,1680275104
